X,Y,Label
-12.564982,-34.471172,8
25.585331,-27.452513,12
0.07915021,-23.417446,8
-2.9979765,50.31865,21
33.646534,49.21912,14
-36.453796,24.244091,6
-11.886675,19.862522,21
-23.79391,38.725563,21
-24.073236,-12.130186,6
31.739222,32.305058,5
0.22252627,9.996696,17
4.771298,-25.353365,8
29.936235,47.042572,14
21.61772,6.434949,1
-8.65663,-31.59233,8
-39.23621,21.614738,3
-7.0699983,-24.459467,8
51.785896,-14.567375,15
-44.2596,-30.6376,11
46.93028,0.6209453,15
10.635462,-35.412804,12
49.750908,3.1077085,7
40.91413,9.216906,1
-44.88411,21.260962,21
44.506786,-18.846409,15
-20.715345,6.679297,15
49.99919,-8.180272,15
3.8541877,5.3982816,17
1.5539654,18.026876,2
1.2392875,-1.2851125,13
-44.835674,27.047295,7
23.286076,36.543137,5
39.466347,14.31179,1
-2.59557,-31.116734,8
-52.347614,18.231293,7
-21.909895,-26.401773,8
-25.833359,-44.50177,4
-35.45541,3.561215,21
3.419006,-46.931225,8
46.23079,11.670765,28
-41.20892,25.334764,7
-23.271095,7.7490854,20
4.6886697,19.538464,2
15.358404,10.716853,21
-28.785482,-43.41636,6
-15.519556,-25.467924,8
33.810413,11.609003,1
-11.762164,-42.084568,8
3.4644783,52.134815,6
7.102104,55.546898,28
0.69482595,37.360718,21
-14.201305,-23.752764,8
-18.121294,-27.66822,8
-42.623497,-28.475815,11
-26.951105,25.169046,21
-2.6135557,-29.099379,8
16.390606,-24.41424,12
8.218298,15.275144,12
41.544598,-24.198719,15
36.412292,-42.086857,27
46.167553,9.909647,1
8.424556,40.68306,9
-28.505157,0.7563151,0
-13.684776,15.717959,3
6.11304,40.286224,9
-26.89623,1.9719728,0
30.679502,13.434353,23
39.083527,20.221586,1
-18.574354,-2.3133774,24
-18.188408,-43.923237,4
-38.542885,15.163492,24
45.914474,-9.726299,15
-48.18301,-27.766418,11
33.625065,33.30806,5
10.905133,5.378433,20
-3.1555572,-15.337375,12
43.601242,14.183724,1
12.265209,-35.88209,8
-36.41892,-4.448694,12
0.117521785,-38.89819,11
-40.261703,16.374676,7
-35.436733,-38.19087,4
-12.132299,-28.52065,8
-0.78821355,-14.068884,8
11.587726,-9.051376,24
36.611065,23.705265,21
-10.073866,38.848354,21
-50.527054,-1.3380953,7
-28.434172,28.47079,16
29.555813,-2.2154903,28
26.420078,-41.162086,27
2.792695,4.1738167,17
27.538614,-7.342896,28
-46.67009,-29.67168,11
-4.156915,1.3845744,12
49.219788,-18.69074,15
40.413483,-42.558247,27
-17.789213,47.111958,21
-22.920864,26.456842,21
-20.173851,-26.162897,8
38.82196,22.971107,1
47.3821,2.0582483,1
-48.933315,14.335922,7
-32.07493,2.7814949,2
26.88528,-47.448277,18
-35.72154,1.7829531,21
20.365433,24.59224,26
-29.114239,37.348858,21
49.234158,-4.422853,15
20.556217,-49.959675,18
2.9711366,53.902355,6
-10.897857,44.222523,23
31.46571,5.2745633,15
-27.647635,3.4153516,0
-15.075736,-19.04294,8
44.07891,11.731066,1
-19.653034,-19.799467,8
-1.3101017,32.26801,21
-25.406368,26.112204,21
-19.031958,-22.83877,8
27.041056,-4.161062,28
-23.335205,37.79667,21
10.938057,10.19532,19
3.801298,20.287645,2
20.627707,-48.605057,18
-2.008373,-20.030266,8
2.6361792,54.001625,21
-8.543424,-27.905502,8
-48.315056,-26.589989,11
-25.976248,3.2850673,0
-24.632114,45.229885,21
46.890373,-21.611174,15
-5.688858,-41.930706,8
44.92968,8.343702,15
-9.013858,-15.024708,8
-16.858318,-4.4165916,4
33.749165,13.54213,15
-11.414722,17.576828,7
19.701872,13.6820965,6
35.465775,52.99344,14
-16.873772,34.383392,21
12.952364,26.730093,26
7.3566394,-12.686721,12
-46.686855,-24.946302,11
54.47528,-19.684286,15
-30.716368,-5.0157895,0
-43.051716,-23.298433,11
-30.055887,-19.452427,16
-4.674632,-6.2225857,8
27.95966,-3.3199902,28
-20.24819,-40.320965,1
28.588457,-28.380114,12
-28.120998,-19.012005,16
38.568714,6.9274244,8
33.961357,-1.1068331,8
30.044928,18.800665,1
22.568996,-42.832943,8
-25.764242,2.8708742,0
2.7629867,-42.097073,8
-24.782799,-4.3601375,24
-40.599686,10.047264,21
34.120605,12.860649,1
-12.778644,29.614178,21
4.9206724,-19.147789,8
-49.52834,23.264753,7
17.889147,14.506523,19
14.090242,38.81458,8
-5.1408906,50.447506,21
43.81015,-20.71423,15
44.10039,-7.64233,1
-14.694686,-3.7472734,24
-34.66398,17.844223,21
48.689148,-11.439105,15
23.119175,13.471741,19
-40.68079,-19.129612,11
-47.412254,-27.551537,11
-44.96075,24.98004,7
26.954475,33.117626,5
-11.581777,38.90734,21
-7.042936,7.8226504,10
-13.960518,-37.774338,8
-11.545934,50.19714,21
37.52269,-39.08794,27
19.387608,25.500648,26
-8.343176,33.92673,21
-16.63733,-26.060072,8
42.790485,9.03501,1
25.263784,-4.594248,28
14.730639,-32.265106,12
42.236656,14.484203,1
2.8006637,-6.1963143,8
-35.72676,33.940857,21
27.80647,-46.15656,27
6.755444,-24.239176,8
50.138584,-13.318313,15
-17.303926,-39.166466,4
-8.666231,-15.884436,8
-41.28654,-24.874857,11
23.890305,10.347087,1
-15.203895,46.396988,21
-17.003754,8.879421,20
-9.888905,45.80671,21
10.734267,-18.973234,23
29.053314,-19.038416,1
-7.5065675,40.78906,21
3.367339,16.878395,2
18.887154,-44.709198,18
50.47131,-14.000954,15
-11.370521,41.966522,21
-28.420305,-8.179029,8
-3.7996082,41.56905,21
10.885493,-34.47498,8
-38.525463,-36.002003,4
9.503444,-22.660326,25
49.237206,-7.3072486,15
-35.33178,-0.35583434,0
-0.15013088,-26.000025,8
-9.524934,-38.18065,8
-29.186298,15.729257,24
-28.168667,-44.916836,4
5.7189484,-22.910322,8
-12.979056,19.3095,21
17.402628,24.935673,26
-16.850214,47.2139,21
41.642315,15.923553,1
10.998224,-4.3586397,21
41.63055,-42.927082,27
-52.91631,-6.6187787,22
-44.994743,-24.752573,11
0.39595833,16.788996,2
8.604259,25.959696,2
-41.638474,34.58231,21
-24.595766,-49.3975,4
-33.23297,5.6124706,0
-19.57929,-15.387045,8
-37.373478,34.585472,21
39.303627,-41.290062,27
24.54823,-28.002516,12
-13.91607,0.029110363,21
-9.188531,7.0838594,20
47.216446,-15.129768,15
